order_id,customer_name,feedback,emp_id,emp_name
1,Samuel,he doesn't come in the time. I have been waiting for a long time.,Emp_001,Employee 1
2,Swetha,He spoke with me as a normal person. He perfect on his duty. ,Emp_002,Employee 2
3,Narein,"I have really very hungry on that time. So I don't have time to cook. 
For that I order in the you portal. With in a 10 minutes I got it. I am so delighted",Emp_003,Employee 3
4,Murally,He comes on the time. Excellent work,Emp_002,Employee 2
5,Nakesh,He make me very angry. He behaviour was not right. ,Emp_001,Employee 1
6,Harshini,"Actually I order the food two hours ago. But you are coming now. 
You are an wasting my time and money",Emp_003,Employee 3
7, Noah,Worst food quality and quantity is very less. I have received the delivery 1 hour late in night.Please check other customets reviews as well who faced the same issue....,Emp_002,Employee 2
8, William,I ordered nodal an chicken biryani from food delivery wich was very nice packing proper cooking on time delivery an very very testy I love it,Emp_001,Employee 1
9, James,"good.....quantity is too less.....sufficient for only 1 person....you cant even track your order because this restaurant is using there own valet for delivery.....no one pick up your call.....not expecting this kind service from zomato......zomato is loosinh credibality due to these kind of restaurants.....please dont get fool by positive feedback like me seems
like all are fake",Emp_001,Employee 1
10, Logan,Thanks to them for delivering food to bhosari at 2:30am. Good taste and friendly staff.. Will recommend to others... The location acess is wrong they dont deliver to bhosari but still he came for the order,Emp_004,Employee 4
11, Benjamin,"The delivery was on time. I would like to appreciate the efforts of the delivery boy he came only for me all long from moshi at midnight. 1000 stars from me to him. Well done #Goodjob. He was friendly and polite.
This was my great experience with Zomato. Keep Hiring people like these. Thank you once again",Emp_004,Employee 4
12,Mason,Delivery is a time and food is so testy and good nice service thank you so much delivery riders is so good,Emp_003,Employee 3
13,Elijah,"Food quality is very very good. I'm very happy with this delivery 😊😊.
I gets 2-5 minutes late or early to deliver but I'm satisfied with quality of food.
Only delivery timing makes issue otherwise everything is good 👍😊😊😊 👍👍",Emp_001,Employee 1
14, Oliver,Bhevaiour of your staff is very untorable. They themselves told me not to order again and ill never let anybody order too. If you want to continue your business I suggest you to change your staff. Very disappointed,Emp_004,Employee 4
15,Jacob,"Very nice taste according to my note and good quantity food, excellent delivery experience",Emp_002,Employee 2
16, Lucas,I ordered chicken Tikka an gajar halwa wicha was very very yummy chicken Tikka spicy an very much testy on time delivery an delivery boy was very nice food paking very good thank you,Emp_001,Employee 1
17, Michael,Hi I ordered chicken biryani combo Wich wah very flever ful an very yummy an kabab very nice an soft raita an one coldrik full your tummy one combo guys plz try this comobo an one time dilvery nice parking thank you,Emp_003,Employee 3
18, Alexander,Order was delivered too late..food taste was not good n quantity is too less. Quantity is only for one person. This type of service is not expected from zomato....really disappointing,Emp_004,Employee 4
19, Ethan,Quality and quantity is worst,Emp_005,Employee 5
20, Daniel,The food delivery was too late .after that the food quality was bad ....i have complained 1 hour before still there is no help from zomato,Emp_005,Employee 5
21, Matthew,"They have delicious food,they even deliver late at night ,try their butter chicken and anda masala",Emp_005,Employee 5
22,Aiden,Nice experience FOOD DELIVERY FOOD quilety nice all friends sageste all good good good,Emp_003,Employee 3
23, Henry,I ordered muglai Partha an bira tandoori Bohet are so yummy an that muglai Partha was filled very nice an soft an bira tandoori I l try first time taste good an well pack an food delivery on time thankiu😊😊,Emp_002,Employee 2
24, Joseph,I ordered kebab and BIRYANI kebab was very testy an juice an BIRYANI is vary testy flever full an on best 👌,Emp_003,Employee 3
25, Jackson,"Food quality and quantity both were not upto the mark, almost half of the food was in dustbin because of disgusting taste…",Emp_001,Employee 1
26, Samuel,Hi I odrd veg sub biryani from food delivery on first Tim wech was very tasty and yummy nice flavor an contaty good nice experience packing very good on time delivery a delivery person are very good thnkiu,Emp_004,Employee 4
27, Sebastian,Good experience FOOD DELIVERY kitchen nice GOOD FOOD all my Family ❤️ ❣️,Emp_002,Employee 2
28, David,Nice an yummy food very nice combo veg combo was nice pakej for one person two sabji two parata one rice an sweet an sales amegin test nice parking an my tummy was feelit ful thank you😀😀,Emp_001,Employee 1
29, Carter,"Placed order which said Paratha, In actual received Chapati",Emp_005,Employee 5
30, Wyatt,I received wrong order after waiting 2hrs.,Emp_003,Employee 3
31, Jayden,"Unprofessional talk with customer by hotel staff and different ordered delivered with improper packing. During order placed shows different dishes and actual delivered less items. Ex. Coke not delivered, Low cost and different dish delivered with actual payment.",Emp_001,Employee 1
32, John,Good food test for health,Emp_005,Employee 5
33,Owen,Hi order the pannir biryani my experience was very very nice biryani was very testy I ordered first time an an my experience was very good I definitely ordered next time different things an suggest to my friend also plz ordered food in food delivery thanks,Emp_005,Employee 5
34, Dylan,"Food was worst plz think before order
Biryani was not test good just white rice and some peices of chicken and I doubt about that chicken. And 1 item was missing",Emp_005,Employee 5
35, Luke,"Worst and Mannersless staff, very poor service, can't keep their promises to deliver food and time. Ordered food from zomato, but even after 1.5hr didn't got my order",Emp_002,Employee 2
36, Gabriel,The food I was feeling today was very good with food delivery. I like ghee pulau rice would i like again try some dish order bye food delivery.I had got the order I had received at the right time.thank you really i love that,Emp_003,Employee 3
37, Anthony,"Simply cheating people with fake menu.
Any of the menu is not good to eat.
If you want waste money and destroy your stomach order from here. How these people obtain food license?",Emp_004,Employee 4
38, Isaac,Half cooked food..... Not happy with food quality. Half cooked food......No test at all.... Worst expiriance with Food delivery... West of money west of time..... Dont want to give even star.,Emp_001,Employee 1
39, Grayson,Good test restaurant is great service with in 20 minutes come food good behavior delivery boy good evening sir I like it pick it up next time order,Emp_004,Employee 4
40, Jack,Gooogts . Food fast delivery and 😜owsame food delivery fast delivery prashan nice took lakhanvi paratha,Emp_002,Employee 2
41,Julian,This restaurant is totally unprofessional...I have ordered food on new year...we ordered total 4 different dishes from 4 different application out of which 2were veg and 2 were non-veg and the restaurant mixed all the orders and also there was no proper packaging which led to leakage of gravies out of the container mixing the veg and non-veg...on complaining to zomato the zomato immediately cancelled and refunded our order. After an hour the restaurant person called and starting shouting rubbish things and gave bad words to us very disrespectful just because we complained. They also told us that we will come to your house. They totally spoiled our new year without even realizing their mistake.please kindly remove this restaurant from your listing zomato,Emp_005,Employee 5
42, Levi,"Ordered Tandoori chicken Not good, Worst experience and roti also not good.
Quality and taste both are very bad, Waste of money.
Zomato also need to inform the restaurant about the food taste",Emp_005,Employee 5
43, Christopher,"Very bad experience, ordered chicken dum biryani but got very bad food, had to through it without having a single bite. Will not order again from zomato & this restaurant",Emp_003,Employee 3
44, Joshua,"The service was good
But the food was not so appreciable
I ordered noodles
They didn’t even provide with a fork
And the taste was not good.",Emp_004,Employee 4
